Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,1432.84397512195,1553.88396075118,1583.99815907985,1707.50892912243,1950.10468280866,1966.25455171679,2041.42863698585,1907.04251637669,2239.61384367482,2279.98145719369,2434.44826340989,2591.9916607122,2702.47987141553
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1225.4340119198,1266.61340849959,1380.47020838317,1424.69161195897,1519.23459514248,1569.33814626355,1390.41690981745,1278.39735206896,1455.31922370186,1538.3228133171,1360.32417758419,1479.47755241191,1595.90912252837
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,958.262989798283,1094.46199702838,1224.38647668165,1649.28380858601,1811.08221668646,1965.24372731467,2129.79896954606,2248.85078828233,2482.84917843357,2716.48592780431,2551.01773827307,2593.41611680774,2597.34352335275
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,3739.43182292825,3972.04377042271,4057.71582716521,4149.19189391879,4398.88828786059,4358.56095905888,4081.94772178134,3847.60136741182,3996.96240531688,3342.63650438046,3815.41531767474,4545.36006870612,5002.07904353724
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,7147.03518622344,7781.06597484974,8175.33285077393,8254.86859320357,8979.67652709856,10085.6638148819,10342.9009524335,10627.4637989619,12887.4357242941,12970.6056414327,12951.1782397043,13293.1162269366,13861.970224368
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,41369.1948479498,39172.8471161948,35664.6446110613,40214.9688631562,39679.8635262948,40645.478086519,41424.8655601543,41098.9739004553,41580.739040705,35548.2645222433,35215.003535366,33797.1014287876,35951.0449549304
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,68476.6788496118,62817.2061751737,56970.3613028094,50084.4440606385,54117.547718609,57410.1737346009,55194.7585097428,51983.4523666382,60758.9044397144,65169.5191118657,65058.3773146674,64609.9865116088,65129.7227990563
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3566.60284506078,3441.06808464008,3288.22269725538,3521.46943457574,3798.88326174526,3860.95353090726,4106.94856160358,3853.70288774146,4287.17313995098,4730.83484836107,4876.2992959843,4925.43644992666,5059.62596411213
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2781.27957677397,2866.83803761407,2909.85818010301,2985.19564024046,3038.12124959289,3168.51036609727,3400.78949767074,3227.57910235199,3484.38593882819,3548.06930572116,3804.08274131718,3985.29464669706,4170.72347271451
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,12458.8912138813,12274.9939689363,8936.19661712113,8836.28652735657,10080.5092819305,9300.66164923219,9029.83326681073,7074.19378337644,7972.5366498646,9281.33334441234,10377.5892792557,10310.5486973693,10713.2856869511
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,12963.675773326,12233.1444119186,13679.6264980954,12699.9623137756,14532.5009308511,11752.7998922979,9955.97478680428,8535.59938004389,10738.0179223384,13962.1894087223,14261.8465667948,13969.7836603737,14898.0885943842
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,8279.10255642981,8187.20824890084,6248.51490534512,5959.84250367574,6479.53231292429,6816.96818309544,6472.54544924705,5339.68711357943,6222.62164397614,6680.44506854481,7012.49169137756,7951.08624019412,8561.62091854449
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,15683.5486369155,14529.6767206336,13433.9202987032,13649.8520452803,14879.9086227187,15659.4808675628,14496.9345640362,13117.9930230086,16216.1840860289,15399.1044717559,17081.5180740049,16658.9652720351,17994.5911957485
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,27865.465604962,27805.4850319422,23256.1549553531,22267.7217050387,23929.2907135982,29360.0658968566,29566.7933827436,24338.8307301067,31920.7653655643,38510.2276211037,36156.8562500172,35527.786181866,34536.6555456551
Turkiye,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,12635.5570016068,12209.3862327674,11064.6494504662,10984.3643169061,10756.3877677883,9684.11819884721,9395.23378001368,8798.11791709313,9981.76398411336,10897.8397861365,13375.0947282864,15892.7157287241,18599.4420922378
